,sample_3,sample_24,sample_8,sample_22,sample_6,sample_15,sample_9,sample_14,sample_23,sample_4,sample_13,sample_20,sample_18,sample_16,sample_19,sample_2,sample_1,sample_21,sample_17,sample_5,sample_11,sample_10,sample_12,sample_7
CDK306,1312,2937,1691,2231,1633,2607,2238,926,2282,1419,419,642,425,2080,2321,1120,2237,4234,1422,2958,1967,537,1450,2156
MMP746,1081,1885,1498,1199,867,3305,1815,972,1622,1179,1303,669,1321,2400,1366,963,1055,722,1095,1462,928,753,1101,865
COL490,72,65,65,23,108,219,52,32,123,118,97,101,62,74,92,96,132,408,39,121,77,102,101,56
ACTB215,1996,934,1617,2058,1266,2804,1233,374,1913,727,1827,358,2464,981,1849,1223,1727,703,1676,1241,1965,688,1336,890
MYO867,66,31,79,56,76,134,69,86,40,82,91,131,60,30,48,103,77,130,97,87,39,105,41,36
HSP173,55,8,44,21,21,63,23,121,172,27,27,36,21,16,37,25,29,24,47,22,41,63,33,35
CAT460,821,157,601,429,548,587,413,1929,611,810,116,327,518,468,243,508,717,367,801,541,739,407,578,779
SOD832,550,396,431,2357,1091,932,393,261,806,1152,3310,571,1750,1820,598,993,921,2700,2045,464,631,520,870,549
NOS490,34,62,36,48,39,103,39,122,96,45,15,25,22,80,84,26,35,118,158,82,54,107,63,38
PTP928,2410,2205,1414,9676,2269,1001,1332,7407,2280,2035,830,1352,1385,1057,608,3379,1987,1442,1630,1550,1869,1828,1253,1442
PDE713,37,12,21,27,26,10,36,6,19,24,18,24,147,26,7,15,21,49,5,31,43,23,17,20
ADRB79,70,132,94,47,74,71,48,248,113,103,109,65,48,42,102,79,85,240,97,59,62,81,53,83
HTR593,572,925,456,228,474,84,237,533,495,526,1053,457,545,581,337,581,516,660,121,334,274,438,373,419
DRD771,1018,3210,706,3010,586,1181,654,1498,1411,975,2504,1122,2564,1379,439,951,961,1883,1892,1665,1143,1555,1939,1161
GRIN347,721,596,845,836,954,1217,1126,297,407,749,1126,1500,1211,399,909,1798,1979,642,1041,974,1543,1137,1043,1583
CACNA445,2719,2546,755,1165,1457,1006,595,2617,1002,2077,1131,1030,1270,1517,2055,1285,1898,471,1067,859,2001,1273,1551,1036
SCN643,45,44,50,22,74,27,38,50,98,59,48,72,8,62,149,48,72,32,82,66,47,107,43,66
KCNH224,2344,2275,3087,2438,4546,687,1682,1405,1583,2828,1318,896,5547,1337,6176,2690,3132,1814,3160,2192,2554,4661,4346,2661
ATP803,123,261,111,404,107,117,173,461,487,175,128,69,87,129,162,302,190,844,213,46,214,125,147,108
NDUF428,192,563,383,449,357,390,234,968,163,334,832,99,280,1526,304,372,250,928,294,432,222,429,273,439
COX923,740,1462,334,702,483,444,400,187,234,233,395,320,446,370,942,350,248,88,221,362,457,243,291,159
UQCR109,2133,2952,1339,637,3634,7794,2137,3437,3003,3808,1790,1315,864,2079,2944,3611,3756,2015,6361,3713,3162,2693,3202,1736
TUBB287,198,45,312,375,223,334,393,426,38,155,279,57,123,494,157,408,620,267,90,251,361,277,322,685
RAB641,343,198,190,233,247,1012,169,155,196,525,331,177,363,1333,236,277,230,177,326,121,373,311,108,581
ARF355,34,1,13,22,32,18,17,18,42,16,6,17,23,24,15,29,37,23,15,28,29,12,13,12
SEC702,147,31,66,31,47,35,48,166,77,119,22,114,21,23,103,105,69,19,660,55,138,100,117,197
VPS672,561,1297,306,1607,782,732,523,1283,255,827,1159,804,209,288,492,750,883,2107,522,956,393,934,485,595
USP863,1177,341,1010,1331,638,439,605,1768,857,900,955,1322,2173,103,4064,1369,1057,703,312,587,1101,1061,563,609
RNF547,1511,2744,2199,655,1063,453,959,1128,3990,790,806,2305,1508,862,539,3865,2424,2820,300,2289,1924,797,1215,2042
DDX584,19,26,24,36,21,3,19,39,21,69,16,17,105,17,21,24,31,13,29,34,68,11,9,38
EIF531,19,22,24,16,56,18,17,87,21,22,15,16,25,16,22,27,40,64,22,27,34,26,14,16
PSMB362,261,149,223,218,153,228,126,673,153,231,130,69,118,325,202,307,301,139,129,163,222,145,142,278
PSMD866,1050,92,430,2384,667,2293,741,231,497,706,937,215,456,405,176,715,964,1113,520,846,294,363,415,1019
HLA986,61,361,79,103,104,242,56,42,118,164,133,60,260,237,68,116,109,22,138,110,70,113,105,147
IFIT83,3525,1308,2848,996,1638,1498,1049,1693,6474,2111,21200,4215,5327,3493,1656,2849,2156,6236,2571,1352,1346,4612,1910,1209
OAS151,186,74,258,142,273,338,166,36,176,239,192,208,448,168,193,131,198,188,104,80,163,141,135,277
IRF586,568,435,520,869,634,970,599,1117,630,425,499,528,435,4806,273,575,975,2505,293,486,493,546,602,389
STAT545,74,11,71,39,79,127,52,280,89,46,80,28,42,70,603,90,64,222,39,28,66,68,37,47
SMAD803,80,80,67,31,85,60,32,42,52,96,36,37,30,67,95,120,102,47,61,29,29,66,85,68
FOX13,2418,4027,1524,1104,1414,709,1581,4257,2537,1658,3437,1336,1517,461,2990,1369,2028,2747,6263,2204,2070,2012,1878,1166
SOX308,1171,979,580,4377,338,951,657,571,657,1193,299,1071,1185,444,1370,935,1061,562,787,971,1261,1939,853,1322
KLF723,57,52,50,190,71,49,43,42,58,69,54,89,106,36,28,93,60,93,172,80,62,101,66,109
GATA661,288,120,85,262,272,220,122,20,107,279,197,36,64,99,335,137,143,252,265,174,135,316,106,123
NFAT988,90,192,67,153,71,72,55,104,160,77,64,148,64,29,88,46,77,50,168,38,79,55,47,48
BCL998,63,24,57,44,42,46,99,34,158,16,101,28,40,73,18,76,60,19,95,13,51,41,47,57
CASP287,62,63,39,63,53,137,32,59,110,44,96,141,92,60,19,109,87,46,68,104,62,77,48,157
ZNF952,523,140,444,293,769,326,483,690,1057,599,334,605,2255,139,398,714,1060,320,1306,753,501,892,483,583
TMEM497,64,104,29,84,41,9,6,42,45,18,33,11,15,30,31,19,42,130,11,24,30,30,20,19
ABCB895,229,270,333,420,257,390,243,294,167,262,182,167,184,107,217,185,230,214,153,319,289,149,78,159
SLC36,53,168,56,45,43,50,48,36,193,50,75,53,28,28,45,28,56,55,65,47,33,89,46,65
CYP755,1064,379,785,999,503,217,408,467,570,885,246,261,945,389,1129,916,798,376,897,396,655,863,780,701
MAP355,410,151,171,533,249,173,155,448,347,257,62,89,701,97,267,263,200,1553,338,263,264,370,170,283
RPL118,1224,3816,1574,1327,1045,446,2608,4051,1655,1217,1315,5005,2570,4240,1278,3102,1838,5644,409,1638,1380,1861,1529,2320
RPS113,337,135,147,525,332,237,236,402,259,244,110,231,46,237,763,497,509,218,306,216,247,193,231,422
GPR617,66,7,74,34,51,21,39,36,80,30,42,128,167,45,54,75,54,38,34,57,144,134,48,90
TNFR182,1444,708,1459,1103,804,1483,1147,1063,1092,912,881,1001,2015,1509,556,706,969,1840,2137,686,541,903,989,804
CDK869,133,223,128,859,139,23,77,187,85,161,205,119,133,203,66,113,160,52,290,130,268,160,139,45
MMP717,649,1004,585,1025,613,1430,683,1820,1524,947,1052,620,1123,992,366,542,665,1659,1034,907,1102,915,726,1026
COL279,31,45,35,57,59,43,30,39,28,124,17,49,27,91,47,74,23,69,12,32,10,55,48,61
ACTB70,2356,1158,2870,4386,2976,1831,1045,1049,919,1948,1077,2425,3808,3531,497,3048,1459,2828,2980,1739,1629,1504,1304,1444
MYO262,78,153,121,103,212,182,53,51,61,159,72,38,8,82,316,167,116,60,219,91,93,152,95,156
HSP128,290,402,253,110,381,1594,255,570,409,612,417,161,196,239,333,397,168,458,89,269,423,482,417,662
CAT132,262,118,389,115,233,111,220,395,412,255,119,203,121,177,194,279,297,122,406,261,223,298,235,254
SOD619,52,32,22,79,76,38,61,211,30,56,138,61,210,20,67,86,69,9,10,53,48,54,70,45
NOS751,33,47,30,29,58,36,88,72,40,44,25,9,28,97,99,86,101,41,46,63,94,60,32,132
PTP837,190,216,238,145,135,115,138,81,39,117,67,168,368,56,245,77,176,160,244,177,82,179,120,159
PDE911,696,612,1090,618,1596,2225,2283,1411,3894,1117,807,1720,929,193,1816,723,1530,958,3844,1016,706,1248,1025,665
